Team 1,Team 2,Odds 1,Odds 2,Year
Mumbai Indians,Sunrisers Hyderabad,1.65,2.20,2021
Punjab Kings,Chennai Super Kings,1.92,1.87,2021
Rajasthan Royals,Delhi Capitals,2.14,1.70,2021
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.88,1.92,2021
Kolkata Knight Riders,Mumbai Indians,2.29,1.62,2021
Rajasthan Royals,Punjab Kings,1.92,1.88,2021
Sunrisers Hyderabad,Kolkata Knight Riders,1.69,2.14,2021
Chennai Super Kings,Delhi Capitals,2.00,1.79,2021
Mumbai Indians,Royal Challengers Bengaluru,1.68,2.16,2021
Mumbai Indians,Delhi Capitals,1.63,2.23,2020
Delhi Capitals,Sunrisers Hyderabad,1.98,1.81,2020
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.78,2.03,2020
Mumbai Indians,Delhi Capitals,1.70,2.14,2020
Sunrisers Hyderabad,Mumbai Indians,1.92,1.87,2020
Delhi Capitals,Royal Challengers Bengaluru,1.93,1.85,2020
Kolkata Knight Riders,Rajasthan Royals,1.98,1.80,2020
Chennai Super Kings,Punjab Kings,2.12,1.70,2020
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.81,1.99,2020
Delhi Capitals,Mumbai Indians,2.15,1.68,2020
Punjab Kings,Rajasthan Royals,1.86,1.91,2020
Chennai Super Kings,Kolkata Knight Riders,2.16,1.65,2020
Mumbai Indians,Royal Challengers Bengaluru,1.65,2.19,2020
Sunrisers Hyderabad,Delhi Capitals,2.20,1.65,2020
Kolkata Knight Riders,Punjab Kings,1.96,1.82,2020
Rajasthan Royals,Mumbai Indians,2.25,1.64,2020
Royal Challengers Bengaluru,Chennai Super Kings,1.59,2.31,2020
Punjab Kings,Sunrisers Hyderabad,1.87,1.92,2020
Kolkata Knight Riders,Delhi Capitals,2.24,1.63,2020
Chennai Super Kings,Mumbai Indians,2.39,1.56,2020
Rajasthan Royals,Sunrisers Hyderabad,1.93,1.83,2020
Kolkata Knight Riders,Royal Challengers Bengaluru,2.22,1.65,2020
Punjab Kings,Delhi Capitals,2.04,1.74,2020
Chennai Super Kings,Rajasthan Royals,1.91,1.86,2020
Mumbai Indians,Punjab Kings,1.58,2.32,2020
Sunrisers Hyderabad,Kolkata Knight Riders,1.92,1.86,2020
Delhi Capitals,Chennai Super Kings,1.80,2.00,2020
Rajasthan Royals,Royal Challengers Bengaluru,2.09,1.72,2020
Mumbai Indians,Kolkata Knight Riders,1.65,2.19,2020
Royal Challengers Bengaluru,Punjab Kings,1.70,2.13,2020
Delhi Capitals,Rajasthan Royals,1.72,2.09,2020
Sunrisers Hyderabad,Chennai Super Kings,1.93,1.86,2020
Royal Challengers Bengaluru,Kolkata Knight Riders,1.73,2.08,2020
Mumbai Indians,Delhi Capitals,1.73,2.05,2020
Sunrisers Hyderabad,Rajasthan Royals,1.68,2.11,2020
Chennai Super Kings,Royal Challengers Bengaluru,2.05,1.73,2020
Punjab Kings,Kolkata Knight Riders,2.15,1.68,2020
Rajasthan Royals,Delhi Capitals,2.21,1.63,2020
Sunrisers Hyderabad,Punjab Kings,1.86,1.92,2020
Kolkata Knight Riders,Chennai Super Kings,1.89,1.89,2020
Mumbai Indians,Rajasthan Royals,1.59,2.31,2020
Royal Challengers Bengaluru,Delhi Capitals,1.78,1.99,2020
Punjab Kings,Chennai Super Kings,1.97,1.80,2020
Mumbai Indians,Sunrisers Hyderabad,1.58,2.35,2020
Delhi Capitals,Kolkata Knight Riders,1.86,1.92,2020
Royal Challengers Bengaluru,Rajasthan Royals,1.78,1.99,2020
Chennai Super Kings,Sunrisers Hyderabad,1.80,1.98,2020
Punjab Kings,Mumbai Indians,2.20,1.66,2020
Rajasthan Royals,Kolkata Knight Riders,1.89,1.86,2020
Delhi Capitals,Sunrisers Hyderabad,1.74,2.05,2020
Royal Challengers Bengaluru,Mumbai Indians,2.13,1.66,2020
Rajasthan Royals,Punjab Kings,1.82,1.96,2020
Kolkata Knight Riders,Sunrisers Hyderabad,1.92,1.83,2020
Chennai Super Kings,Delhi Capitals,1.77,2.00,2020
Punjab Kings,Royal Challengers Bengaluru,2.18,1.66,2020
Kolkata Knight Riders,Mumbai Indians,2.02,1.76,2020
Rajasthan Royals,Chennai Super Kings,2.29,1.60,2020
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.76,2.04,2020
Delhi Capitals,Punjab Kings,1.71,2.08,2020
Mumbai Indians,Chennai Super Kings,1.69,2.11,2020
Mumbai Indians,Chennai Super Kings,1.78,2.00,2019
Chennai Super Kings,Delhi Capitals,1.62,2.24,2019
Delhi Capitals,Sunrisers Hyderabad,1.71,2.09,2019
Mumbai Indians,Chennai Super Kings,1.75,2.01,2019
Mumbai Indians,Kolkata Knight Riders,1.71,2.08,2019
Punjab Kings,Chennai Super Kings,2.08,1.72,2019
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.78,2.00,2019
Delhi Capitals,Rajasthan Royals,1.55,2.40,2019
Punjab Kings,Kolkata Knight Riders,2.22,1.63,2019
Mumbai Indians,Sunrisers Hyderabad,1.61,2.26,2019
Chennai Super Kings,Delhi Capitals,1.73,2.07,2019
Royal Challengers Bengaluru,Rajasthan Royals,1.69,2.12,2019
Sunrisers Hyderabad,Punjab Kings,1.78,2.00,2019
Kolkata Knight Riders,Mumbai Indians,2.08,1.72,2019
Delhi Capitals,Royal Challengers Bengaluru,1.85,1.92,2019
Rajasthan Royals,Sunrisers Hyderabad,2.13,1.69,2019
Chennai Super Kings,Mumbai Indians,2.06,1.72,2019
Kolkata Knight Riders,Rajasthan Royals,1.59,2.31,2019
